Year,Category,Nominee,Won?
2009,Best Performance by an Actress in a Motion Picture - Comedy Or Musical,"Streep, Meryl in Mamma Mia!",no
2009,Best Performance by an Actress in a Motion Picture - Comedy Or Musical,"Thompson, Emma in Last Chance Harvey",no
2009,Best Performance by an Actor in a Motion Picture - Comedy Or Musical,"Bardem, Javier in Vicky Cristina Barcelona",no
2009,Best Performance by an Actor in a Motion Picture - Comedy Or Musical,"Farrell, Colin in In Bruges",yes
2009,Best Performance by an Actor in a Motion Picture - Comedy Or Musical,"Franco, James in Pineapple Express",no
2009,Best Performance by an Actor in a Motion Picture - Comedy Or Musical,"Gleeson, Brendan in In Bruges",no
2009,Best Performance by an Actor in a Motion Picture - Comedy Or Musical,"Hoffman, Dustin in Last Chance Harvey",no
2009,Best Performance by an Actress In A Supporting Role in a Motion Picture,"Adams, Amy in Doubt",no
2009,Best Performance by an Actress In A Supporting Role in a Motion Picture,"Cruz, Penélope in Vicky Cristina Barcelona",no
2009,Best Performance by an Actress In A Supporting Role in a Motion Picture,"Davis, Viola in Doubt",no
2009,Best Performance by an Actress In A Supporting Role in a Motion Picture,"Tomei, Marisa in Wrestler, The",no
2009,Best Performance by an Actress In A Supporting Role in a Motion Picture,"Winslet, Kate in Reader, The",yes
2009,Best Performance by an Actor In A Supporting Role in a Motion Picture,"Cruise, Tom in Tropic Thunder",no
2009,Best Performance by an Actor In A Supporting Role in a Motion Picture,"Downey Jr., Robert in Tropic Thunder",no
2009,Best Performance by an Actor In A Supporting Role in a Motion Picture,"Fiennes, Ralph in Duchess, The",no
2009,Best Performance by an Actor In A Supporting Role in a Motion Picture,"Hoffman, Philip Seymour in Doubt",no
2009,Best Performance by an Actor In A Supporting Role in a Motion Picture,"Ledger, Heath in Dark Knight, The",yes
2009,Best Animated Feature Film,Bolt,no
2009,Best Animated Feature Film,Kung Fu Panda,no
2009,Best Animated Feature Film,Wall-E,yes
2009,Best Foreign Language Film,"Baader Meinhof Complex, The from Germany, The Country of",no
